"PENELOPE GUINESS",1,"2006-02-15 04:34:33"
"PENELOPE GUINESS",23,"2006-02-15 04:34:33"
"PENELOPE GUINESS",25,"2006-02-15 04:34:33"
"PENELOPE GUINESS",106,"2006-02-15 04:34:33"
"PENELOPE GUINESS",140,"2006-02-15 04:34:33"
"PENELOPE GUINESS",166,"2006-02-15 04:34:33"
"PENELOPE GUINESS",277,"2006-02-15 04:34:33"
"PENELOPE GUINESS",361,"2006-02-15 04:34:33"
"PENELOPE GUINESS",438,"2006-02-15 04:34:33"
"PENELOPE GUINESS",499,"2006-02-15 04:34:33"
"PENELOPE GUINESS",506,"2006-02-15 04:34:33"
"PENELOPE GUINESS",509,"2006-02-15 04:34:33"
"PENELOPE GUINESS",605,"2006-02-15 04:34:33"
"PENELOPE GUINESS",635,"2006-02-15 04:34:33"
"PENELOPE GUINESS",749,"2006-02-15 04:34:33"
"PENELOPE GUINESS",832,"2006-02-15 04:34:33"
"PENELOPE GUINESS",939,"2006-02-15 04:34:33"
"PENELOPE GUINESS",970,"2006-02-15 04:34:33"
"PENELOPE GUINESS",980,"2006-02-15 04:34:33"
"NICK WAHLBERG",3,"2006-02-15 04:34:33"
"NICK WAHLBERG",31,"2006-02-15 04:34:33"
"NICK WAHLBERG",47,"2006-02-15 04:34:33"
"NICK WAHLBERG",105,"2006-02-15 04:34:33"
"NICK WAHLBERG",132,"2006-02-15 04:34:33"
"NICK WAHLBERG",145,"2006-02-15 04:34:33"
"NICK WAHLBERG",226,"2006-02-15 04:34:33"
"NICK WAHLBERG",249,"2006-02-15 04:34:33"
"NICK WAHLBERG",314,"2006-02-15 04:34:33"
"NICK WAHLBERG",321,"2006-02-15 04:34:33"
"NICK WAHLBERG",357,"2006-02-15 04:34:33"
"NICK WAHLBERG",369,"2006-02-15 04:34:33"
"NICK WAHLBERG",399,"2006-02-15 04:34:33"
"NICK WAHLBERG",458,"2006-02-15 04:34:33"
"NICK WAHLBERG",481,"2006-02-15 04:34:33"
"NICK WAHLBERG",485,"2006-02-15 04:34:33"
"NICK WAHLBERG",518,"2006-02-15 04:34:33"
"NICK WAHLBERG",540,"2006-02-15 04:34:33"
"NICK WAHLBERG",550,"2006-02-15 04:34:33"
"NICK WAHLBERG",555,"2006-02-15 04:34:33"
"NICK WAHLBERG",561,"2006-02-15 04:34:33"
"NICK WAHLBERG",742,"2006-02-15 04:34:33"
"NICK WAHLBERG",754,"2006-02-15 04:34:33"
"NICK WAHLBERG",811,"2006-02-15 04:34:33"
"NICK WAHLBERG",958,"2006-02-15 04:34:33"
"ED CHASE",17,"2006-02-15 04:34:33"
"ED CHASE",40,"2006-02-15 04:34:33"
"ED CHASE",42,"2006-02-15 04:34:33"
"ED CHASE",87,"2006-02-15 04:34:33"
"ED CHASE",111,"2006-02-15 04:34:33"
"ED CHASE",185,"2006-02-15 04:34:33"
"ED CHASE",289,"2006-02-15 04:34:33"
"ED CHASE",329,"2006-02-15 04:34:33"
"ED CHASE",336,"2006-02-15 04:34:33"
"ED CHASE",341,"2006-02-15 04:34:33"
"ED CHASE",393,"2006-02-15 04:34:33"
"ED CHASE",441,"2006-02-15 04:34:33"
"ED CHASE",453,"2006-02-15 04:34:33"
"ED CHASE",480,"2006-02-15 04:34:33"
"ED CHASE",539,"2006-02-15 04:34:33"
"ED CHASE",618,"2006-02-15 04:34:33"
"ED CHASE",685,"2006-02-15 04:34:33"
"ED CHASE",827,"2006-02-15 04:34:33"
"ED CHASE",966,"2006-02-15 04:34:33"
"ED CHASE",967,"2006-02-15 04:34:33"
"ED CHASE",971,"2006-02-15 04:34:33"
"ED CHASE",996,"2006-02-15 04:34:33"
"JENNIFER DAVIS",23,"2006-02-15 04:34:33"
"JENNIFER DAVIS",25,"2006-02-15 04:34:33"
"JENNIFER DAVIS",56,"2006-02-15 04:34:33"
"JENNIFER DAVIS",62,"2006-02-15 04:34:33"
"JENNIFER DAVIS",79,"2006-02-15 04:34:33"
"JENNIFER DAVIS",87,"2006-02-15 04:34:33"
"JENNIFER DAVIS",355,"2006-02-15 04:34:33"
"JENNIFER DAVIS",379,"2006-02-15 04:34:33"
