1,"2005-05-24 22:53:30",80,"BLANKET BEVERLY",2.99,"2005-05-26 22:04:30","2005-05-24 22:53:30",367,1,130
2,"2005-05-24 22:54:33",333,"FREAKY POCUS",2.99,"2005-05-28 19:40:33","2005-05-24 22:54:33",1525,1,459
3,"2005-05-24 23:03:39",373,"GRADUATE LORD",3.99,"2005-06-01 22:12:39","2005-05-24 23:03:39",1711,1,408
4,"2005-05-24 23:04:41",535,"LOVE SUICIDES",4.99,"2005-06-03 01:43:41","2005-05-24 23:04:41",2452,2,333
5,"2005-05-24 23:05:21",450,"IDOLS SNATCHERS",6.99,"2005-06-02 04:33:21","2005-05-24 23:05:21",2079,1,222
6,"2005-05-24 23:08:07",613,"MYSTIC TRUMAN",0.99,"2005-05-27 01:32:07","2005-05-24 23:08:07",2792,1,549
7,"2005-05-24 23:11:53",870,"SWARM GOLD",1.99,"2005-05-29 20:34:53","2005-05-24 23:11:53",3995,2,269
8,"2005-05-24 23:31:46",510,"LAWLESS VISION",4.99,"2005-05-27 23:33:46","2005-05-24 23:31:46",2346,2,239
9,"2005-05-25 00:00:40",565,"MATRIX SNOWMAN",4.99,"2005-05-28 00:22:40","2005-05-25 00:00:40",2580,1,126
10,"2005-05-25 00:02:21",396,"HANGING DEEP",5.99,"2005-05-31 22:44:21","2005-05-25 00:02:21",1824,2,399
11,"2005-05-25 00:09:02",971,"WHALE BIKINI",8.99,"2005-06-02 20:56:02","2005-05-25 00:09:02",4443,2,142
12,"2005-05-25 00:19:27",347,"GAMES BOWFINGER",4.99,"2005-05-30 05:44:27","2005-05-25 00:19:27",1584,2,261
13,"2005-05-25 00:22:55",499,"KING EVOLUTION",6.99,"2005-05-30 04:28:55","2005-05-25 00:22:55",2294,1,334
14,"2005-05-25 00:31:15",593,"MONTEREY LABYRINTH",0.99,"2005-05-26 02:56:15","2005-05-25 00:31:15",2701,1,446
15,"2005-05-25 00:39:22",670,"PELICAN COMFORTS",9.99,"2005-06-03 03:30:22","2005-05-25 00:39:22",3049,1,319
16,"2005-05-25 00:43:11",86,"BOOGIE AMELIE",4.99,"2005-05-26 04:42:11","2005-05-25 00:43:11",389,2,316
17,"2005-05-25 01:06:36",181,"CONTACT ANONYMOUS",2.99,"2005-05-27 00:43:36","2005-05-25 01:06:36",830,1,575
18,"2005-05-25 01:10:47",741,"ROMAN PUNK",0.99,"2005-05-31 06:35:47","2005-05-25 01:10:47",3376,2,19
19,"2005-05-25 01:17:24",422,"HOLLOW JEOPARDY",4.99,"2005-05-31 06:00:24","2005-05-25 01:17:24",1941,1,456
20,"2005-05-25 01:48:41",770,"SCISSORHANDS SLUMS",2.99,"2005-05-27 02:20:41","2005-05-25 01:48:41",3517,2,185
21,"2005-05-25 01:59:46",31,"APACHE DIVINE",4.99,"2005-05-26 01:01:46","2005-05-25 01:59:46",146,2,388
22,"2005-05-25 02:19:23",159,"CLOSER BANG",4.99,"2005-05-26 04:52:23","2005-05-25 02:19:23",727,2,509
23,"2005-05-25 02:40:21",971,"WHALE BIKINI",4.99,"2005-05-29 06:34:21","2005-05-25 02:40:21",4441,1,438
24,"2005-05-25 02:53:02",721,"REDS POCUS",4.99,"2005-05-27 01:15:02","2005-05-25 02:53:02",3273,1,350
25,"2005-05-25 03:21:20",863,"SUN CONFESSIONS",0.99,"2005-05-27 21:25:20","2005-05-25 03:21:20",3961,2,37
26,"2005-05-25 03:36:50",953,"WAIT CIDER",3.99,"2005-05-31 00:34:50","2005-05-25 03:36:50",4371,1,371
27,"2005-05-25 03:41:50",271,"EASY GLADIATOR",4.99,"2005-05-30 01:13:50","2005-05-25 03:41:50",1225,2,301
